sep=;
Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2024-07-02;977.61;969.30;972.91;;1;;
2024-07-01;983.43;975.70;980.42;;1;;
2024-06-28;977.68;972.13;975.04;;1;;
2024-06-27;974.71;969.12;971.18;;1;;
2024-06-26;981.66;968.80;973.11;;1;;
2024-06-25;980.62;970.37;971.39;;1;;
2024-06-24;984.37;969.67;984.20;;1;;
2024-06-20;978.12;968.74;978.12;;1;;
2024-06-19;972.20;967.21;967.46;;1;;
2024-06-18;976.71;967.91;972.37;;1;;
2024-06-17;978.33;965.71;970.75;;1;;
2024-06-14;985.71;969.28;971.63;;1;;
2024-06-13;999.25;983.88;983.92;;1;;
2024-06-12;1,002.16;985.25;1,000.42;;1;;
2024-06-11;991.31;979.40;982.85;;1;;
2024-06-10;989.18;981.52;986.12;;1;;
2024-06-07;995.07;985.82;993.44;;1;;
2024-06-05;992.42;988.50;992.34;;1;;
2024-06-04;990.93;982.91;984.55;;1;;
2024-06-03;1,002.33;989.23;991.74;;1;;
2024-05-31;991.99;982.52;990.84;;1;;
2024-05-30;986.88;977.19;985.91;;1;;
2024-05-29;992.75;980.59;980.59;;1;;
2024-05-28;1,002.97;992.88;995.46;;1;;
2024-05-27;1,000.27;995.77;999.88;;1;;
2024-05-24;1,000.15;993.13;999.34;;1;;
2024-05-23;1,007.83;1,001.37;1,003.47;;1;;
2024-05-22;1,004.72;999.68;1,003.03;;1;;
2024-05-21;1,002.31;997.92;1,001.87;;1;;
2024-05-20;1,002.42;992.73;1,002.42;;1;;
2024-05-17;991.23;986.67;990.72;;1;;
2024-05-16;1,000.44;992.24;992.96;;1;;
2024-05-15;1,002.10;994.05;998.17;;1;;
2024-05-14;995.22;987.85;995.22;;1;;
2024-05-13;988.75;984.96;988.16;;1;;
2024-05-10;990.96;981.70;988.98;;1;;
2024-05-08;977.83;971.82;974.44;;1;;
2024-05-07;974.31;962.87;974.31;;1;;
2024-05-06;962.47;954.74;962.29;;1;;
2024-05-03;957.74;947.38;954.50;;1;;
2024-05-02;954.22;946.34;947.30;;1;;
2024-04-30;959.22;951.68;957.95;;1;;
2024-04-29;960.16;953.66;959.18;;1;;
2024-04-26;953.94;942.81;951.83;;1;;
2024-04-25;948.19;931.39;937.06;;1;;
2024-04-24;955.08;947.89;949.57;;1;;
2024-04-23;954.04;942.28;953.69;;1;;
2024-04-22;944.48;937.94;939.37;;1;;
2024-04-15;960.77;950.18;951.58;;1;;
2024-04-12;963.78;946.12;947.32;;1;;
2024-04-11;954.02;939.96;947.71;;1;;
2024-04-10;966.25;947.76;955.15;;1;;
2024-04-09;963.00;955.19;956.36;;1;;
2024-04-08;964.57;955.57;962.73;;1;;
2024-04-05;955.73;947.20;955.12;;1;;
2024-04-04;964.03;958.82;962.77;;1;;
2024-04-03;960.41;952.88;959.91;;1;;
2024-04-02;970.48;955.69;958.26;;1;;
2024-03-28;970.79;962.70;963.34;;1;;
2024-03-27;976.09;970.22;971.19;;1;;
2024-03-26;972.25;962.78;971.52;;1;;
2024-03-25;969.79;961.98;965.74;;1;;
2024-03-22;972.19;963.33;966.90;;1;;
2024-03-21;968.32;958.96;968.32;;1;;
2024-03-20;954.62;944.06;951.42;;1;;
2024-03-19;951.60;941.90;951.60;;1;;
2024-03-18;956.04;944.85;945.70;;1;;
2024-03-13;954.24;947.81;952.95;;1;;
2024-03-12;951.48;939.92;950.32;;1;;
2024-03-11;936.81;932.12;936.52;;1;;
2024-03-08;940.57;930.90;938.67;;1;;
2024-03-07;932.62;917.10;930.04;;1;;
2024-03-06;927.90;917.73;925.98;;1;;
2024-03-05;924.39;918.25;918.80;;1;;
2024-03-04;931.38;923.58;925.20;;1;;
2024-03-01;930.96;925.76;929.79;;1;;
2024-02-29;924.55;918.58;922.24;;1;;
2024-02-28;920.55;916.83;919.32;;1;;
2024-02-27;920.14;915.49;919.39;;1;;
2024-02-26;919.51;914.90;917.29;;1;;
2024-02-23;917.65;910.38;916.99;;1;;
2024-02-22;917.68;909.86;914.10;;1;;
2024-02-21;909.96;904.35;908.13;;1;;
2024-02-20;912.11;905.46;909.34;;1;;
2024-02-19;912.27;906.95;911.27;;1;;
2024-02-16;913.07;906.08;911.05;;1;;
2024-02-15;903.29;898.69;903.15;;1;;
2024-02-14;894.84;888.71;894.18;;1;;
2024-02-13;897.87;885.77;890.56;;1;;
2024-02-12;898.14;892.12;897.93;;1;;
2024-02-09;896.36;888.82;890.75;;1;;
2024-02-08;895.52;891.85;894.02;;1;;
2024-02-07;892.52;888.38;890.46;;1;;
2024-02-06;889.67;880.64;888.97;;1;;
2024-02-05;892.73;882.02;882.38;;1;;
2024-02-01;897.18;885.77;892.01;;1;;
2024-01-31;891.96;887.32;888.52;;1;;
2024-01-30;893.12;886.92;888.94;;1;;
2024-01-29;891.89;880.68;888.27;;1;;
2024-01-26;888.28;876.65;888.02;;1;;
2024-01-25;884.00;875.04;883.98;;1;;
2024-01-24;882.62;876.77;879.26;;1;;
2024-01-23;875.85;867.51;872.89;;1;;
2024-01-22;871.45;863.96;869.80;;1;;
2024-01-19;870.96;858.28;859.65;;1;;
2024-01-18;868.18;859.10;865.47;;1;;
2024-01-17;861.68;855.93;861.13;;1;;
2024-01-16;875.57;868.49;871.91;;1;;
2024-01-15;887.71;875.73;876.90;;1;;
2024-01-12;887.74;878.89;886.52;;1;;
2024-01-11;890.48;875.95;876.30;;1;;
2024-01-10;882.92;878.01;880.86;;1;;
2024-01-09;888.61;878.10;881.95;;1;;
2024-01-08;885.90;872.90;885.90;;1;;
2024-01-05;883.18;876.47;877.02;;1;;
2024-01-04;888.17;881.45;886.93;;1;;
2024-01-02;908.76;895.87;900.25;;1;;
2023-12-29;906.29;902.27;902.88;;1;;
2023-12-28;904.03;899.19;901.40;;1;;
2023-12-27;904.09;897.28;900.70;;1;;
